payment_id,payment_amount,payment_date,customer_id,customer_full_name,address_id,district,city,country,store_id,manager_staff_id,staff_id,staff_full_name,rental_id,rental_date,return_date,rental_duration,film_id,film_title,release_year,rental_rate,film_length,language_name,category_name,actor_id,actor_full_name
17515,0.99,32:52.0,343,Douglas Graf,348,Baja California,Mexicali,Mexico,1,1,2,Jon Stephens,1922,6/17/2005 6:04,6/18/2005 9:15,1,545,Madness Attacks,2006,0.99,178,English             ,Foreign,48,Frances Day-Lewis
17516,6.99,26:39.0,343,Douglas Graf,348,Baja California,Mexicali,Mexico,1,1,2,Jon Stephens,2461,6/18/2005 19:58,6/28/2005 1:35,9,16,Alley Evolution,2006,2.99,180,English             ,Foreign,12,Karl Berry
17517,8.99,03:30.0,343,Douglas Graf,348,Baja California,Mexicali,Mexico,1,1,2,Jon Stephens,2980,6/20/2005 8:35,6/29/2005 7:57,9,69,Beverly Outlaw,2006,2.99,85,English             ,Sci-Fi,30,Sandra Peck
17518,0.99,42:29.0,343,Douglas Graf,348,Baja California,Mexicali,Mexico,1,1,2,Jon Stephens,3407,6/21/2005 16:14,6/24/2005 15:38,3,855,Streak Ridgemont,2006,0.99,132,English             ,Documentary,23,Sandra Kilmer
17519,3.99,54:45.0,344,Henry Billingsley,349,Tongatapu,Nukualofa,Tonga,1,1,2,Jon Stephens,1341,6/15/2005 12:26,6/21/2005 7:26,6,738,Rocketeer Mother,2006,0.99,178,English             ,Foreign,35,Judy Dean
17520,4.99,36:28.0,344,Henry Billingsley,349,Tongatapu,Nukualofa,Tonga,1,1,2,Jon Stephens,1475,6/15/2005 21:08,6/18/2005 22:33,3,398,Hanover Galaxy,2006,4.99,47,English             ,Music,4,Jennifer Davis
17521,0.99,00:39.0,344,Henry Billingsley,349,Tongatapu,Nukualofa,Tonga,1,1,2,Jon Stephens,1731,6/16/2005 15:32,6/19/2005 18:58,3,809,Slipper Fidelity,2006,0.99,156,English             ,Sports,63,Cameron Wray
17522,0.99,26:18.0,345,Carl Artis,350,Central,San Lorenzo,Paraguay,1,1,2,Jon Stephens,1210,6/15/2005 2:57,6/20/2005 1:41,5,1,Academy Dinosaur,2006,0.99,86,English             ,Documentary,1,Penelope Guiness
17523,4.99,34:16.0,345,Carl Artis,350,Central,San Lorenzo,Paraguay,1,1,1,Mike Hillyer,1457,6/15/2005 20:05,6/19/2005 15:35,4,159,Closer Bang,2006,4.99,58,English             ,Comedy,21,Kirsten Paltrow
17524,0.99,27:02.0,345,Carl Artis,350,Central,San Lorenzo,Paraguay,1,1,1,Mike Hillyer,1550,6/16/2005 1:58,6/18/2005 23:56,3,436,Hours Rage,2006,0.99,122,English             ,New,29,Alec Wayne
17525,4.99,13:42.0,345,Carl Artis,350,Central,San Lorenzo,Paraguay,1,1,2,Jon Stephens,2766,6/19/2005 17:45,6/23/2005 20:11,4,749,Rules Human,2006,4.99,153,English             ,Horror,1,Penelope Guiness
17526,5.99,35:33.0,346,Arthur Simpkins,351,Adygea,Maikop,Russian Federation,1,1,2,Jon Stephens,1994,6/17/2005 11:07,6/25/2005 8:32,8,476,Jason Trap,2006,2.99,130,English             ,Family,39,Goldie Brody
17527,2.99,02:46.0,346,Arthur Simpkins,351,Adygea,Maikop,Russian Federation,1,1,2,Jon Stephens,3372,6/21/2005 13:34,6/27/2005 8:41,6,906,Tramp Others,2006,0.99,171,English             ,Comedy,26,Rip Crawford
17528,2.99,51:25.0,346,Arthur Simpkins,351,Adygea,Maikop,Russian Federation,1,1,1,Mike Hillyer,3421,6/21/2005 17:22,6/24/2005 18:57,3,857,Strictly Scarface,2006,2.99,144,English             ,Comedy,86,Greg Chaplin
17529,8.99,40:19.0,347,Ryan Salisbury,352,Daugavpils,Daugavpils,Latvia,2,2,1,Mike Hillyer,1711,6/16/2005 14:11,6/25/2005 8:49,9,61,Beauty Grease,2006,4.99,175,English             ,Drama,111,Cameron Zellweger
17530,0.99,59:42.0,347,Ryan Salisbury,352,Daugavpils,Daugavpils,Latvia,2,2,2,Jon Stephens,2274,6/18/2005 6:31,6/21/2005 1:24,3,663,Patient Sister,2006,0.99,99,English             ,Classics,20,Lucille Tracy
17531,4.99,16:27.0,347,Ryan Salisbury,352,Daugavpils,Daugavpils,Latvia,2,2,2,Jon Stephens,3026,6/20/2005 11:48,6/21/2005 12:51,1,878,Teen Apollo,2006,4.99,74,English             ,Travel,33,Milla Peck
17532,8.99,33:09.0,347,Ryan Salisbury,352,Daugavpils,Daugavpils,Latvia,2,2,1,Mike Hillyer,3092,6/20/2005 16:04,6/27/2005 19:54,7,946,Virtual Spoilers,2006,4.99,144,English             ,Family,59,Dustin Tautou
17533,7.99,33:17.0,347,Ryan Salisbury,352,Daugavpils,Daugavpils,Latvia,2,2,2,Jon Stephens,3326,6/21/2005 9:04,6/30/2005 12:10,9,229,Devil Desire,2006,4.99,87,English             ,Action,66,Mary Tandy
17534,2.99,11:15.0,348,Roger Quintanilla,353,Taipei,Hsichuh,Taiwan,2,2,2,Jon Stephens,1654,6/16/2005 9:42,6/20/2005 14:28,4,232,Dirty Ace,2006,2.99,147,English             ,Games,14,Vivien Bergen
17535,8.99,47:27.0,348,Roger Quintanilla,353,Taipei,Hsichuh,Taiwan,2,2,2,Jon Stephens,2041,6/17/2005 14:19,6/26/2005 8:38,9,170,Command Darling,2006,4.99,120,English             ,Foreign,7,Grace Mostel
17536,0.99,30:03.0,348,Roger Quintanilla,353,Taipei,Hsichuh,Taiwan,2,2,2,Jon Stephens,2499,6/18/2005 23:01,6/20/2005 21:50,2,697,Primary Glass,2006,0.99,53,English             ,Action,9,Joe Swank
17537,2.99,11:13.0,349,Joe Gilliland,354,Southern Tagalog,Imus,Philippines,2,2,1,Mike Hillyer,1197,6/15/2005 1:42,6/20/2005 0:22,5,835,Spy Mile,2006,2.99,112,English             ,Games,28,Woody Hoffman
17538,0.99,47:07.0,349,Joe Gilliland,354,Southern Tagalog,Imus,Philippines,2,2,2,Jon Stephens,1523,6/16/2005 0:18,6/17/2005 2:50,1,149,Christmas Moonshine,2006,0.99,150,English             ,Children,120,Penelope Monroe
17539,6.99,24:17.0,349,Joe Gilliland,354,Southern Tagalog,Imus,Philippines,2,2,2,Jon Stephens,2987,6/20/2005 8:55,6/28/2005 13:02,8,334,Freddy Storm,2006,4.99,65,English             ,Horror,27,Julia Mcqueen
17540,8.99,27:48.0,349,Joe Gilliland,354,Southern Tagalog,Imus,Philippines,2,2,2,Jon Stephens,3067,6/20/2005 13:59,6/28/2005 19:09,8,680,Pinocchio Simon,2006,4.99,103,English             ,Comedy,21,Kirsten Paltrow
17541,3.99,24:36.0,350,Juan Fraley,355,Tuvassia,Teboksary,Russian Federation,1,1,2,Jon Stephens,2011,6/17/2005 11:56,6/24/2005 6:47,7,160,Club Graffiti,2006,0.99,65,English             ,Animation,38,Tom Mckellen
17542,0.99,31:39.0,350,Juan Fraley,355,Tuvassia,Teboksary,Russian Federation,1,1,2,Jon Stephens,2619,6/19/2005 8:03,6/21/2005 5:02,2,402,Harper Dying,2006,0.99,52,English             ,Animation,94,Kenneth Torn
17543,2.99,42:07.0,350,Juan Fraley,355,Tuvassia,Teboksary,Russian Federation,1,1,1,Mike Hillyer,3079,6/20/2005 15:13,6/21/2005 12:03,1,462,Insider Arizona,2006,2.99,78,English             ,Music,18,Dan Torn
17544,0.99,08:06.0,350,Juan Fraley,355,Tuvassia,Teboksary,Russian Federation,1,1,1,Mike Hillyer,3206,6/21/2005 0:39,6/22/2005 5:12,1,475,Japanese Run,2006,0.99,135,English             ,Horror,14,Vivien Bergen
17545,5.99,33:17.0,351,Jack Foust,356,Krasnojarsk,Zeleznogorsk,Russian Federation,1,1,1,Mike Hillyer,1792,6/16/2005 20:04,6/26/2005 0:57,9,832,Splash Gump,2006,0.99,175,English             ,Family,1,Penelope Guiness
17546,0.99,36:27.0,351,Jack Foust,356,Krasnojarsk,Zeleznogorsk,Russian Federation,1,1,1,Mike Hillyer,1869,6/17/2005 2:08,6/19/2005 21:43,3,191,Crooked Frogmen,2006,0.99,143,English             ,Children,9,Joe Swank
17547,2.99,38:51.0,351,Jack Foust,356,Krasnojarsk,Zeleznogorsk,Russian Federation,1,1,2,Jon Stephens,2759,6/19/2005 17:10,6/24/2005 21:56,5,150,Cider Desire,2006,2.99,101,English             ,Documentary,27,Julia Mcqueen
17548,0.99,26:27.0,352,Albert Crouse,357,Nord-Ouest,Bamenda,Cameroon,1,1,1,Mike Hillyer,1498,6/15/2005 21:58,6/17/2005 21:50,2,807,Sleuth Orient,2006,0.99,87,English             ,Games,80,Ralph Cruz
17549,4.99,49:00.0,352,Albert Crouse,357,Nord-Ouest,Bamenda,Cameroon,1,1,1,Mike Hillyer,1649,6/16/2005 9:20,6/18/2005 13:42,2,86,Boogie Amelie,2006,4.99,121,English             ,Music,25,Kevin Bloom
17550,4.99,36:55.0,352,Albert Crouse,357,Nord-Ouest,Bamenda,Cameroon,1,1,1,Mike Hillyer,1678,6/16/2005 11:08,6/19/2005 15:44,3,403,Harry Idaho,2006,4.99,121,English             ,Drama,55,Fay Kilmer
17551,4.99,40:12.0,352,Albert Crouse,357,Nord-Ouest,Bamenda,Cameroon,1,1,2,Jon Stephens,1780,6/16/2005 19:11,6/19/2005 15:34,3,31,Apache Divine,2006,4.99,92,English             ,Family,2,Nick Wahlberg
17552,4.99,06:20.0,352,Albert Crouse,357,Nord-Ouest,Bamenda,Cameroon,1,1,2,Jon Stephens,3331,6/21/2005 9:37,6/26/2005 4:01,5,640,Opus Ice,2006,4.99,102,English             ,Foreign,72,Sean Williams
17553,2.99,58:57.0,353,Jonathan Scarborough,358,Hidalgo,Pachuca de Soto,Mexico,1,1,1,Mike Hillyer,1359,6/15/2005 13:30,6/17/2005 14:55,2,690,Pond Seattle,2006,2.99,185,English             ,Animation,95,Daryl Wahlberg
17554,7.99,16:58.0,353,Jonathan Scarborough,358,Hidalgo,Pachuca de Soto,Mexico,1,1,1,Mike Hillyer,1928,6/17/2005 6:48,6/26/2005 8:17,9,757,Sagebrush Clueless,2006,2.99,106,English             ,Documentary,20,Lucille Tracy
17555,6.99,07:58.0,353,Jonathan Scarborough,358,Hidalgo,Pachuca de Soto,Mexico,1,1,2,Jon Stephens,3233,6/21/2005 2:39,6/28/2005 5:23,7,774,Searchers Wait,2006,2.99,182,English             ,Comedy,101,Susan Davis
17556,0.99,16:45.0,354,Justin Ngo,359,So Paulo,Santo Andr,Brazil,2,2,1,Mike Hillyer,1491,6/15/2005 21:48,6/20/2005 16:40,5,186,Craft Outfield,2006,0.99,64,English             ,Drama,26,Rip Crawford
17557,4.99,59:56.0,354,Justin Ngo,359,So Paulo,Santo Andr,Brazil,2,2,2,Jon Stephens,2275,6/18/2005 6:31,6/24/2005 10:04,6,616,National Story,2006,2.99,92,English             ,Documentary,4,Jennifer Davis
17558,6.99,20:41.0,354,Justin Ngo,359,So Paulo,Santo Andr,Brazil,2,2,2,Jon Stephens,2769,6/19/2005 17:52,6/26/2005 20:30,7,271,Easy Gladiator,2006,4.99,148,English             ,Action,16,Fred Costner
17559,2.99,13:12.0,354,Justin Ngo,359,So Paulo,Santo Andr,Brazil,2,2,1,Mike Hillyer,3139,6/20/2005 19:44,6/23/2005 16:24,3,761,Santa Paris,2006,2.99,154,English             ,Children,69,Kenneth Paltrow
17560,0.99,08:21.0,355,Terry Grissom,360,Shimane,Matsue,Japan,2,2,1,Mike Hillyer,1488,6/15/2005 21:39,6/16/2005 20:33,1,241,Donnie Alley,2006,0.99,125,English             ,Animation,14,Vivien Bergen
17561,2.99,20:32.0,355,Terry Grissom,360,Shimane,Matsue,Japan,2,2,1,Mike Hillyer,1612,6/16/2005 6:52,6/19/2005 1:51,3,664,Patriot Roman,2006,2.99,65,English             ,Action,52,Carmen Hunt
17562,0.99,28:13.0,356,Gerald Fultz,361,Madhya Pradesh,Satna,India,2,2,1,Mike Hillyer,1410,6/15/2005 16:59,6/21/2005 16:38,6,176,Congeniality Quest,2006,0.99,87,English             ,Sports,38,Tom Mckellen
17563,2.99,05:05.0,356,Gerald Fultz,361,Madhya Pradesh,Satna,India,2,2,1,Mike Hillyer,2405,6/18/2005 16:36,6/21/2005 19:15,3,788,Ship Wonderland,2006,2.99,104,English             ,Documentary,34,Audrey Olivier
17564,4.99,38:44.0,356,Gerald Fultz,361,Madhya Pradesh,Satna,India,2,2,2,Jon Stephens,2433,6/18/2005 18:10,6/23/2005 14:46,5,207,Dangerous Uptown,2006,4.99,121,English             ,Foreign,49,Anne Cronyn
17565,5.99,39:46.0,357,Keith Rico,362,Bratislava,Bratislava,Slovakia,1,1,1,Mike Hillyer,1246,6/15/2005 5:11,6/21/2005 2:21,6,95,Breakfast Goldfinger,2006,4.99,123,English             ,New,76,Angelina Astaire
17566,1.99,15:45.0,357,Keith Rico,362,Bratislava,Bratislava,Slovakia,1,1,1,Mike Hillyer,1788,6/16/2005 19:47,6/22/2005 23:10,6,831,Spirited Casualties,2006,0.99,138,English             ,Sci-Fi,39,Goldie Brody
17567,1.99,52:26.0,357,Keith Rico,362,Bratislava,Bratislava,Slovakia,1,1,2,Jon Stephens,1971,6/17/2005 9:23,6/25/2005 13:20,8,629,Notorious Reunion,2006,0.99,128,English             ,Documentary,145,Kim Allen
17568,6.99,26:31.0,357,Keith Rico,362,Bratislava,Bratislava,Slovakia,1,1,2,Jon Stephens,2153,6/17/2005 22:58,6/24/2005 19:38,7,532,Loser Hustler,2006,4.99,80,English             ,Sports,8,Matthew Johansson
17569,2.99,19:33.0,358,Samuel Marlow,363,Jharkhand,Ranchi,India,2,2,2,Jon Stephens,1455,6/15/2005 19:51,6/18/2005 21:54,3,474,Jade Bunch,2006,2.99,174,English             ,Sports,52,Carmen Hunt
17570,0.99,39:03.0,358,Samuel Marlow,363,Jharkhand,Ranchi,India,2,2,1,Mike Hillyer,1908,6/17/2005 5:10,6/19/2005 3:52,2,89,Borrowers Bedazzled,2006,0.99,63,English             ,Animation,15,Cuba Olivier
17571,5.99,28:52.0,358,Samuel Marlow,363,Jharkhand,Ranchi,India,2,2,1,Mike Hillyer,2114,6/17/2005 20:00,6/23/2005 18:51,6,774,Searchers Wait,2006,2.99,182,English             ,Comedy,101,Susan Davis
17572,2.99,21:51.0,358,Samuel Marlow,363,Jharkhand,Ranchi,India,2,2,2,Jon Stephens,2721,6/19/2005 14:53,6/21/2005 18:22,2,829,Spinal Rocky,2006,2.99,138,English             ,Family,24,Cameron Streep
17573,2.99,56:02.0,358,Samuel Marlow,363,Jharkhand,Ranchi,India,2,2,2,Jon Stephens,2749,6/19/2005 16:27,6/25/2005 21:06,6,337,Frida Slipper,2006,2.99,73,English             ,Foreign,13,Uma Wood
17574,2.99,34:38.0,358,Samuel Marlow,363,Jharkhand,Ranchi,India,2,2,2,Jon Stephens,3245,6/21/2005 3:06,6/25/2005 8:06,4,447,Ice Crossing,2006,2.99,131,English             ,Games,53,Mena Temple
17575,4.99,53:33.0,359,Willie Markham,364,Buenos Aires,Almirante Brown,Argentina,2,2,2,Jon Stephens,1329,6/15/2005 11:25,6/17/2005 16:10,2,255,Driving Polish,2006,4.99,175,English             ,Music,8,Matthew Johansson
17576,1.99,36:22.0,359,Willie Markham,364,Buenos Aires,Almirante Brown,Argentina,2,2,2,Jon Stephens,1770,6/16/2005 18:07,6/23/2005 23:49,7,367,Goldmine Tycoon,2006,0.99,153,English             ,Sci-Fi,23,Sandra Kilmer
17577,0.99,50:30.0,359,Willie Markham,364,Buenos Aires,Almirante Brown,Argentina,2,2,2,Jon Stephens,2401,6/18/2005 16:22,6/19/2005 13:49,1,17,Alone Trip,2006,0.99,82,English             ,Music,3,Ed Chase
17578,4.99,11:47.0,359,Willie Markham,364,Buenos Aires,Almirante Brown,Argentina,2,2,1,Mike Hillyer,2736,6/19/2005 15:43,6/21/2005 13:03,2,985,Wonderland Christmas,2006,4.99,111,English             ,Sci-Fi,15,Cuba Olivier
17579,0.99,17:02.0,360,Ralph Madrigal,365,Arecibo,Arecibo,Puerto Rico,2,2,1,Mike Hillyer,1492,6/15/2005 21:48,6/17/2005 17:18,2,901,Tracy Cider,2006,0.99,142,English             ,Animation,7,Grace Mostel
17580,6.99,53:12.0,360,Ralph Madrigal,365,Arecibo,Arecibo,Puerto Rico,2,2,1,Mike Hillyer,2402,6/18/2005 16:24,6/27/2005 14:39,9,621,Network Peak,2006,2.99,75,English             ,Family,43,Kirk Jovovich
17581,3.99,36:37.0,360,Ralph Madrigal,365,Arecibo,Arecibo,Puerto Rico,2,2,1,Mike Hillyer,2541,6/19/2005 2:08,6/23/2005 23:32,5,25,Angels Life,2006,2.99,74,English             ,New,1,Penelope Guiness
17582,6.99,48:00.0,360,Ralph Madrigal,365,Arecibo,Arecibo,Puerto Rico,2,2,1,Mike Hillyer,2780,6/19/2005 18:19,6/28/2005 22:29,9,330,Forrester Comancheros,2006,4.99,112,English             ,Animation,43,Kirk Jovovich
17583,4.99,21:52.0,361,Lawrence Lawton,366,Centre,Yaound,Cameroon,2,2,1,Mike Hillyer,2353,6/18/2005 12:53,6/19/2005 13:53,1,708,Quills Bull,2006,4.99,112,English             ,Documentary,147,Fay Winslet
17584,1.99,37:43.0,361,Lawrence Lawton,366,Centre,Yaound,Cameroon,2,2,1,Mike Hillyer,2558,6/19/2005 3:09,6/24/2005 5:29,5,641,Orange Grapes,2006,0.99,76,English             ,Foreign,97,Meg Hawke
17585,2.99,35:30.0,361,Lawrence Lawton,366,Centre,Yaound,Cameroon,2,2,1,Mike Hillyer,2851,6/19/2005 23:07,6/22/2005 17:26,3,468,Invasion Cyclone,2006,2.99,97,English             ,Children,82,Woody Jolie
17586,2.99,02:41.0,361,Lawrence Lawton,366,Centre,Yaound,Cameroon,2,2,2,Jon Stephens,3303,6/21/2005 7:34,6/26/2005 13:18,5,344,Fury Murder,2006,0.99,178,English             ,Children,12,Karl Berry
17587,2.99,52:37.0,362,Nicholas Barfield,367,Par,Belm,Brazil,1,1,1,Mike Hillyer,1429,6/15/2005 18:24,6/18/2005 16:30,3,895,Tomorrow Hustler,2006,2.99,142,English             ,Classics,8,Matthew Johansson
17588,2.99,06:02.0,362,Nicholas Barfield,367,Par,Belm,Brazil,1,1,2,Jon Stephens,1529,6/16/2005 0:37,6/22/2005 18:58,7,368,Gone Trouble,2006,2.99,84,English             ,Drama,31,Sissy Sobieski
17589,2.99,28:55.0,362,Nicholas Barfield,367,Par,Belm,Brazil,1,1,1,Mike Hillyer,1615,6/16/2005 7:00,6/25/2005 8:53,9,850,Story Side,2006,0.99,163,English             ,Action,11,Zero Cage
17590,2.99,35:50.0,362,Nicholas Barfield,367,Par,Belm,Brazil,1,1,2,Jon Stephens,3197,6/21/2005 0:07,6/23/2005 0:53,2,393,Halloween Nuts,2006,2.99,47,English             ,Documentary,3,Ed Chase
17591,2.99,42:54.0,362,Nicholas Barfield,367,Par,Belm,Brazil,1,1,2,Jon Stephens,3393,6/21/2005 15:14,6/25/2005 19:54,4,356,Giant Troopers,2006,2.99,102,English             ,Children,103,Matthew Leigh
17592,4.99,44:51.0,363,Roy Whiting,368,Central,Nyeri,Kenya,2,2,2,Jon Stephens,1426,6/15/2005 18:16,6/18/2005 22:15,3,964,Waterfront Deliverance,2006,4.99,61,English             ,Action,9,Joe Swank
17593,4.99,47:36.0,363,Roy Whiting,368,Central,Nyeri,Kenya,2,2,2,Jon Stephens,1569,6/16/2005 3:19,6/18/2005 21:55,3,856,Streetcar Intentions,2006,4.99,73,English             ,Horror,14,Vivien Bergen
17594,4.99,33:49.0,363,Roy Whiting,368,Central,Nyeri,Kenya,2,2,1,Mike Hillyer,1847,6/17/2005 0:05,6/20/2005 21:09,4,265,Dying Maker,2006,4.99,168,English             ,Comedy,78,Groucho Sinatra
17595,4.99,33:15.0,363,Roy Whiting,368,Central,Nyeri,Kenya,2,2,2,Jon Stephens,2540,6/19/2005 2:04,6/20/2005 22:42,2,938,Velvet Terminator,2006,4.99,173,English             ,Comedy,11,Zero Cage
17596,2.99,37:14.0,363,Roy Whiting,368,Central,Nyeri,Kenya,2,2,1,Mike Hillyer,3281,6/21/2005 6:08,6/24/2005 11:22,3,872,Sweet Brotherhood,2006,2.99,185,English             ,Travel,74,Milla Keitel
17597,2.99,41:19.0,364,Benjamin Varney,369,Jalisco,Guadalajara,Mexico,1,1,2,Jon Stephens,1722,6/16/2005 15:12,6/19/2005 13:01,3,463,Instinct Airport,2006,2.99,116,English             ,Sports,4,Jennifer Davis
17598,2.99,17:45.0,364,Benjamin Varney,369,Jalisco,Guadalajara,Mexico,1,1,1,Mike Hillyer,2442,6/18/2005 18:49,6/22/2005 16:18,4,880,Telemark Heartbreakers,2006,2.99,152,English             ,Animation,12,Karl Berry
17599,4.99,19:59.0,364,Benjamin Varney,369,Jalisco,Guadalajara,Mexico,1,1,2,Jon Stephens,2606,6/19/2005 6:51,6/21/2005 3:15,2,898,Tourist Pelican,2006,4.99,152,English             ,Sports,120,Penelope Monroe
17600,4.99,43:42.0,364,Benjamin Varney,369,Jalisco,Guadalajara,Mexico,1,1,2,Jon Stephens,2857,6/19/2005 23:15,6/25/2005 4:24,5,633,October Submarine,2006,4.99,54,English             ,Classics,7,Grace Mostel
17601,3.99,00:22.0,364,Benjamin Varney,369,Jalisco,Guadalajara,Mexico,1,1,1,Mike Hillyer,2962,6/20/2005 7:31,6/26/2005 4:43,6,652,Pajama Jawbreaker,2006,0.99,126,English             ,Classics,20,Lucille Tracy
17602,1.99,24:24.0,365,Bruce Schwarz,370,Okinawa,Okinawa,Japan,2,2,2,Jon Stephens,1303,6/15/2005 9:55,6/20/2005 14:26,5,436,Hours Rage,2006,0.99,122,English             ,New,29,Alec Wayne
17603,6.99,36:43.0,365,Bruce Schwarz,370,Okinawa,Okinawa,Japan,2,2,1,Mike Hillyer,1578,6/16/2005 4:08,6/23/2005 7:57,7,745,Roses Treasure,2006,4.99,162,English             ,Sports,15,Cuba Olivier
17604,4.99,50:40.0,365,Bruce Schwarz,370,Okinawa,Okinawa,Japan,2,2,1,Mike Hillyer,1983,6/17/2005 10:22,6/24/2005 5:04,7,426,Home Pity,2006,4.99,185,English             ,Music,21,Kirsten Paltrow
17605,2.99,16:49.0,365,Bruce Schwarz,370,Okinawa,Okinawa,Japan,2,2,2,Jon Stephens,2525,6/19/2005 0:48,6/24/2005 19:10,6,288,Escape Metropolis,2006,2.99,167,English             ,Travel,5,Johnny Lollobrigida
17606,0.99,32:13.0,365,Bruce Schwarz,370,Okinawa,Okinawa,Japan,2,2,2,Jon Stephens,3156,6/20/2005 21:03,6/21/2005 23:32,1,479,Jedi Beneath,2006,0.99,128,English             ,Family,84,James Pitt
17607,1.99,58:49.0,366,Brandon Huey,371,Balikesir,Balikesir,Turkey,1,1,2,Jon Stephens,1401,6/15/2005 16:30,6/21/2005 11:07,6,890,Tights Dawn,2006,0.99,172,English             ,Sports,14,Vivien Bergen
17608,0.99,13:04.0,366,Brandon Huey,371,Balikesir,Balikesir,Turkey,1,1,2,Jon Stephens,2214,6/18/2005 2:44,6/18/2005 23:37,1,531,Lose Inch,2006,0.99,137,English             ,Foreign,20,Lucille Tracy
17609,0.99,38:15.0,367,Adam Gooch,372,Andhra Pradesh,Adoni,India,1,1,1,Mike Hillyer,3078,6/20/2005 15:09,6/24/2005 16:54,4,795,Siege Madre,2006,0.99,111,English             ,Family,15,Cuba Olivier
17610,0.99,25:12.0,368,Harry Arce,373,Esfahan,Najafabad,Iran,1,1,1,Mike Hillyer,1186,6/15/2005 0:56,6/16/2005 2:23,1,341,Frost Head,2006,0.99,82,English             ,Classics,3,Ed Chase
17611,9.99,21:57.0,368,Harry Arce,373,Esfahan,Najafabad,Iran,1,1,1,Mike Hillyer,1513,6/15/2005 22:53,6/23/2005 1:00,7,260,Dude Blindness,2006,4.99,132,English             ,Sports,30,Sandra Peck
17612,4.99,49:16.0,368,Harry Arce,373,Esfahan,Najafabad,Iran,1,1,2,Jon Stephens,2531,6/19/2005 1:20,6/22/2005 1:50,3,167,Coma Head,2006,4.99,109,English             ,Travel,63,Cameron Wray
17613,4.99,45:48.0,368,Harry Arce,373,Esfahan,Najafabad,Iran,1,1,1,Mike Hillyer,2694,6/19/2005 13:17,6/24/2005 15:09,5,84,Boiled Dares,2006,4.99,102,English             ,Travel,18,Dan Torn
17614,4.99,49:07.0,368,Harry Arce,373,Esfahan,Najafabad,Iran,1,1,2,Jon Stephens,2744,6/19/2005 16:20,6/22/2005 11:44,3,985,Wonderland Christmas,2006,4.99,111,English             ,Sci-Fi,15,Cuba Olivier
